plot,spec,hits
X3C,Empnig,24
X3C,Equpra,0
X3C,Equsci,0
X3C,Erilat,0
X3C,Erivag,0
X3C,Eupfri,0
X3C,Fesovi,0
X3C,Hupsel,0
X3C,Juntri,0
X3C,Linbor,0
X3C,Loipro,6
X3C,Luzspi,0
X3C,Pedlap,0
X3C,Pinvul,0
X3C,Pyrsp.,0
X3C,Rholap,0
X3C,Rubcha,0
X3C,Salmyr,0
X3C,Salgla,0
X3C,Salret,0
X3C,Saualp,0
X3C,Silaca,0
X3C,Thaalp,0
X3C,Tofpus,0
X3C,Trices,0
X3C,Vacmic,0
X3C,Vaculi,57
X3C,Vacvit,0
X4SF,Andpol,0
X4SF,Arcalp,1
X4SF,Astalp,0
X4SF,Baralp,0
X4SF,Betnan,49
