species,plot,hits
Huperzia selago,E1SF,0
Huperzia selago,E1C,0
Huperzia selago,E2SF,0
Huperzia selago,E2C,0
Huperzia selago,E3SF,0
Huperzia selago,E3C,0
Huperzia selago,E4SF,0
Huperzia selago,E4C,0
Huperzia selago,E5SF,0
Huperzia selago,E5C,0
Huperzia selago,X1SF,0
Huperzia selago,X1C,0
Huperzia selago,X2SF,0
Huperzia selago,X2C,0
Huperzia selago,X3SF,0
Huperzia selago,X3C,0
Huperzia selago,X4SF,0
Huperzia selago,X4C,0
Huperzia selago,X5SF,0
Huperzia selago,X5C,0
Juncus trifidus,D1SF,0
Juncus trifidus,D1C,0
Juncus trifidus,D2SF,0
Juncus trifidus,D2C,0
Juncus trifidus,D3SF,0
Juncus trifidus,D3C,0
Juncus trifidus,D4SF,0
Juncus trifidus,D4C,0
Juncus trifidus,D5SF,0
Juncus trifidus,D5C,0
Juncus trifidus,E1SF,0
Juncus trifidus,E1C,0
Juncus trifidus,E2SF,0
Juncus trifidus,E2C,0
Juncus trifidus,E3SF,0
Juncus trifidus,E3C,0
Juncus trifidus,E4SF,0
Juncus trifidus,E4C,0
Juncus trifidus,E5SF,0
Juncus trifidus,E5C,0
Juncus trifidus,X1SF,10
Juncus trifidus,X1C,0
Juncus trifidus,X2SF,0
Juncus trifidus,X2C,0
Juncus trifidus,X3SF,4
Juncus trifidus,X3C,0
Juncus trifidus,X4SF,4
Juncus trifidus,X4C,1
Juncus trifidus,X5SF,4
Juncus trifidus,X5C,1
Linnaea borealis,D1SF,0
Linnaea borealis,D1C,0
Linnaea borealis,D2SF,0
Linnaea borealis,D2C,0
Linnaea borealis,D3SF,0
Linnaea borealis,D3C,0
Linnaea borealis,D4SF,0
Linnaea borealis,D4C,0
Linnaea borealis,D5SF,0
Linnaea borealis,D5C,0
Linnaea borealis,E1SF,2
Linnaea borealis,E1C,0
Linnaea borealis,E2SF,0
Linnaea borealis,E2C,30
Linnaea borealis,E3SF,0
Linnaea borealis,E3C,0
Linnaea borealis,E4SF,0
Linnaea borealis,E4C,0
Linnaea borealis,E5SF,0
Linnaea borealis,E5C,0
Linnaea borealis,X1SF,0
Linnaea borealis,X1C,0
Linnaea borealis,X2SF,0
Linnaea borealis,X2C,0
Linnaea borealis,X3SF,0
Linnaea borealis,X3C,0
Linnaea borealis,X4SF,0
Linnaea borealis,X4C,0
Linnaea borealis,X5SF,0
Linnaea borealis,X5C,0
Loiseleuria procumbens,D1SF,0
Loiseleuria procumbens,D1C,0
Loiseleuria procumbens,D2SF,0
Loiseleuria procumbens,D2C,0
Loiseleuria procumbens,D3SF,0
Loiseleuria procumbens,D3C,0
Loiseleuria procumbens,D4SF,0
Loiseleuria procumbens,D4C,0
Loiseleuria procumbens,D5SF,0
Loiseleuria procumbens,D5C,0
Loiseleuria procumbens,E1SF,0
Loiseleuria procumbens,E1C,0
Loiseleuria procumbens,E2SF,0
Loiseleuria procumbens,E2C,4
Loiseleuria procumbens,E3SF,21
Loiseleuria procumbens,E3C,0
Loiseleuria procumbens,E4SF,0
Loiseleuria procumbens,E4C,0
Loiseleuria procumbens,E5SF,26
Loiseleuria procumbens,E5C,0
Loiseleuria procumbens,X1SF,6
Loiseleuria procumbens,X1C,113
Loiseleuria procumbens,X2SF,83
Loiseleuria procumbens,X2C,17
Loiseleuria procumbens,X3SF,23
Loiseleuria procumbens,X3C,6
Loiseleuria procumbens,X4SF,22
Loiseleuria procumbens,X4C,0
Loiseleuria procumbens,X5SF,103
Loiseleuria procumbens,X5C,41
Luzula spicata,D1SF,0
Luzula spicata,D1C,0
Luzula spicata,D2SF,0
Luzula spicata,D2C,0
Luzula spicata,D3SF,0
Luzula spicata,D3C,0
Luzula spicata,D4SF,0
Luzula spicata,D4C,0
Luzula spicata,D5SF,1
Luzula spicata,D5C,2
